name,final_score,mana_value,mana_cost,type_line,edhrec_rank,roles,decklist_popularity,strategic_role,commander_synergy,vector_similarity,edhrec,mana_curve,card_quality,reasons
Lotus Cobra,0.8548,2.0,{1}{G},Creature — Snake,319,ramp|etb_synergy|landfall,0.9212,1.0,0.59,0.8137,0.85,1.0,0.9742,"Rôles utiles pour la stratégie : landfall, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 319) | Mana value cohérente (2.0)"
"Tatyova, Benthic Druid",0.851,5.0,{3}{G}{U},Legendary Creature — Merfolk Druid,457,card_draw|etb_synergy|tribal_synergy|lifegain|landfall,0.9012,1.0,0.64,0.7965,0.85,0.8,0.9632,"Rôles utiles pour la stratégie : landfall, card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 457) | Mana value cohérente (5.0)"
Scute Swarm,0.8396,3.0,{2}{G},Creature — Insect,220,etb_synergy|token_generation|landfall,0.8669,1.0,0.59,0.8066,0.85,1.0,0.9443,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 220) | Mana value cohérente (3.0)"
Breeding Pool,0.8233,0,,Land — Forest Island,63,ramp|etb_synergy,0.9256,1.0,0.42,0.769,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 63)"
Temple Garden,0.8228,0,,Land — Forest Plains,82,ramp|etb_synergy,0.9138,1.0,0.42,0.786,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 82)"
Stomping Ground,0.8227,0,,Land — Mountain Forest,68,ramp|etb_synergy,0.9154,1.0,0.42,0.7821,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 68)"
Felidar Retreat,0.8219,4.0,{3}{W},Enchantment,482,etb_synergy|token_generation|counter_synergy|landfall|enchantment_synergy,0.833,1.0,0.57,0.814,0.85,0.8,0.9256,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 482) | Mana value cohérente (4.0)"
Hallowed Fountain,0.8164,0,,Land — Plains Island,65,ramp|etb_synergy,0.9026,1.0,0.42,0.7616,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 65)"
Steam Vents,0.8152,0,,Land — Island Mountain,67,ramp|etb_synergy,0.897,1.0,0.42,0.7627,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 67)"
Sacred Foundry,0.8106,0,,Land — Mountain Plains,78,ramp|etb_synergy,0.8653,1.0,0.42,0.785,1.0,0.75,1.0,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 78)"
